    5    9
        0.3578268092        0.0074225295        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0031090303        0.0000000000        0.0000000000
        0.0074225295        0.2754484831        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0331172214        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1970885705
        0.0000050295        0.0531438343        0.0000002342
        0.0000000000       -0.0525542259       -0.0000023647
        0.0000000000        0.0000000000        0.0000050295
        0.1970888616        0.0000001694        0.0531438786
        0.0000000000       -0.0000023408        0.0525554083
        0.0000000000        0.0000000000        0.0531438343
        0.0000001694        0.1591229216        0.0000020191
        0.0000000000       -0.0178265009        0.0000007094
        0.0000000000        0.0000000000        0.0000002342
        0.0531438786        0.0000020191        0.1591229011
        0.0000000000        0.0000006889        0.0178291839
        0.0031090303       -0.0331172214        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.2768976310        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0525542259
       -0.0000023408       -0.0178265009        0.0000006889
        0.0000000000        0.2595851515        0.0000095292
        0.0000000000        0.0000000000       -0.0000023647
        0.0525554083        0.0000007094        0.0178291839
        0.0000000000        0.0000095292        0.2595853812
