Molecule,Ref. Freq,Natty Freq,Ref - Nat,Redundant Freq,Ref - Redundant,Nat - Redundant
30_F2C=CF2,201.37437485763814,201.37437485763814,0.0,201.3743748576398,-1.6484591469634324e-12,-1.6484591469634324e-12
,210.87860542222575,210.8806021705846,-0.0019967483588629875,210.880602170588,-0.001996748362245171,-3.382183422218077e-12
,401.04409756756024,401.0886119229563,-0.044514355396074734,401.0886119229608,-0.044514355400565364,-4.490630090003833e-12
,418.4408548930078,418.44085489300767,1.1368683772161603e-13,418.4408548930102,-2.4442670110147446e-12,-2.5579538487363607e-12
,511.8202472514579,511.82024725145794,-5.684341886080802e-14,511.8202472514578,1.1368683772161603e-13,1.7053025658242404e-13
,556.4050327611569,556.3973283808064,0.007704380350560314,556.397328380806,0.007704380350901374,3.410605131648481e-13
,559.79315959599,559.7949798880951,-0.0018202921050942678,559.7949798880932,-0.0018202921031615915,1.9326762412674725e-12
,797.3223057231006,797.3647671530277,-0.04246142992712976,797.364767153032,-0.04246142993133617,-4.206412995699793e-12
,1208.5464156002101,1208.5655345595396,-0.01911895932948937,1208.565534559541,-0.019118959330853613,-1.3642420526593924e-12
,1376.538791170549,1376.545686890433,-0.006895719883914353,1376.545686890431,-0.00689571988186799,2.0463630789890885e-12
,1385.8143605069545,1385.8851395929667,-0.07077908601218041,1385.8851395929655,-0.07077908601104355,1.1368683772161603e-12
,1921.1527313306651,1921.0735073510707,0.07922397959441696,1921.0735073510605,0.07922397960464878,1.0231815394945443e-11
,,,,,,
,,,,,,
,,,,,,
