Molecule,Ref. Freq,Natty Freq,Ref - Nat,Redundant Freq,Ref - Redundant,Nat - Redundant
15_CCl4,218.4116842340411,218.41168423404082,2.8421709430404007e-13,218.4116842340411,0.0,-2.8421709430404007e-13
,218.4354223819608,218.4354322893389,-9.90737811434883e-06,218.43543228930932,-9.907348527349313e-06,2.958699951705057e-11
,316.6870081841638,316.75767678341793,-0.07066859925413382,316.7576767180653,-0.07066853390148253,6.535265129059553e-08
,316.7037069023651,316.7734424447366,-0.06973554237146118,316.77345229392336,-0.06974539155822868,-9.849186767496576e-06
,316.7913931612742,316.86062069423986,-0.06922753296566952,316.860620756951,-0.06922759567680714,-6.271113761613378e-08
,463.2265655457357,463.22652933987155,3.620586414854188e-05,463.22656089316087,4.6525748302883585e-06,-3.155328931825352e-05
,802.5442256714704,802.5924608372994,-0.048235165829055404,802.5924622003591,-0.04823652888876495,-1.3630597095470876e-06
,802.5595930457116,802.6079806544346,-0.04838760872303283,802.6078429554394,-0.048249909727815066,0.00013769899521776097
,802.5599687489987,802.6082520563205,-0.048283307321753455,802.6082506636716,-0.04828191467288434,1.3926488691140548e-06
,,,,,,
,,,,,,
,,,,,,
