    9   21
        0.3091271799        0.0375082251        0.0224825801
        0.0014763600       -0.0010316599        0.0015511301
       -0.0009948899        0.0001077450        0.0314287551
        0.0304877651        0.0324261602        0.0054731801
       -0.0022998948       -0.0018944250       -0.0028435649
       -0.0037315149       -0.0014080500        0.0006384651
        0.0000534452       -0.0037699350       -0.0002676200
        0.0375082251        0.8605207395        0.0795281903
        0.0009427001        0.0000904653       -0.0003666447
       -0.0019054497        0.0004888402       -0.0579949047
       -0.0130777099        0.0049117503       -0.0074093346
       -0.0054860647       -0.0012287298        0.0008587551
       -0.0062897797        0.0069067502       -0.0001489448
       -0.0013157246        0.0001704603       -0.0031978448
        0.0224825801        0.0795281903        0.4648185197
        0.0010879451       -0.0010959847       -0.0005338397
        0.0020356353       -0.0026681150        0.0206407952
       -0.0443315298        0.0056337203        0.0013277203
        0.0002262003        0.0019289051        0.0000637952
       -0.0117013298        0.0030020101       -0.0004500748
        0.0004508853       -0.0033239247        0.0238355501
        0.0014763600        0.0009427001        0.0010879451
        0.3778683998        0.0052760252       -0.0008594948
        0.0002015452        0.0000131300        0.0004753451
        0.0023934301       -0.0126346998       -0.0000963799
        0.0010347652        0.0011206001        0.0005064402
       -0.0003767498       -0.0004514798       -0.0002026249
        0.0002671651        0.0004428450        0.0002542951
       -0.0010316599        0.0000904653       -0.0010959847
        0.0052760252        0.3794956396        0.0009340452
       -0.0002559597       -0.0003275198        0.0093602152
       -0.0076527297        0.0010094952        0.0152310002
       -0.0013031098       -0.0159505448       -0.0000661748
        0.0005034853       -0.0013227049        0.0009400301
        0.0001290903        0.0019933552        0.0001940754
        0.0015511301       -0.0003666447       -0.0005338397
       -0.0008594948        0.0009340452        0.3715124296
       -0.0000878248       -0.0004278650        0.0058585753
       -0.0035029049        0.0006827953       -0.0014655247
        0.0154333803        0.0007476751        0.0174112752
        0.0002903951        0.0000370203       -0.0003283699
       -0.0011250248       -0.0048165899        0.0002190153
       -0.0009948899       -0.0019054497        0.0020356353
        0.0002015452       -0.0002559597       -0.0000878248
        0.5078808695        0.0020890802        0.0001245652
       -0.0006194547        0.0001275953        0.0008811904
        0.0008117354       -0.0003542398       -0.0004154147
        0.0110102603       -0.0035251348       -0.0000158097
       -0.0007652098       -0.0026284447        0.0119100253
        0.0001077450        0.0004888402       -0.0026681150
        0.0000131300       -0.0003275198       -0.0004278650
        0.0020890802        0.5165147999       -0.0122446998
       -0.0089427600       -0.0003198549       -0.0015024649
       -0.0005818100       -0.0001622351        0.0003392951
        0.0031832651        0.0166748102       -0.0003971451
       -0.0002180400       -0.0001468999        0.0007048151
        0.0314287551       -0.0579949047        0.0206407952
        0.0004753451        0.0093602152        0.0058585753
        0.0001245652       -0.0122446998        0.2507537596
        0.0258389703        0.0077218702        0.0288339453
        0.0105610503        0.0084411701       -0.0010178297
       -0.0076146448       -0.0273444599        0.0022033203
        0.0014849853       -0.0014829648        0.0024620553
        0.0304877651       -0.0130777099       -0.0443315298
        0.0023934301       -0.0076527297       -0.0035029049
       -0.0006194547       -0.0089427600        0.0258389703
        0.2704406097        0.0061115351       -0.0187391296
       -0.0127392947       -0.0045668050        0.0000987001
        0.0008066502       -0.0273202649       -0.0014662548
        0.0007788302       -0.0036776648       -0.0006372798
