    7   15
        0.2841335470        0.0336351462        0.0197187273
        0.0074152581       -0.0012864689        0.0000021265
       -0.0315634003        0.0036993168        0.0382003975
       -0.0004171494       -0.0000012085       -0.0067435110
       -0.0000012523       -0.0000029570        0.0000043337
        0.0336351462        0.9188666445        0.0751036794
       -0.0010908002        0.0017016896       -0.0000018554
        0.0168424202        0.0462521513        0.0028511846
       -0.0050923012        0.0000020083       -0.0004863858
        0.0000012102       -0.0000014910        0.0000052546
        0.0197187273        0.0751036794        0.1675291924
        0.0009428089        0.0000575426        0.0000046163
        0.0206770608       -0.0513190224        0.0072097680
        0.0045620448        0.0000054769        0.0027321880
       -0.0000029655        0.0000046464        0.0000079388
        0.0074152581       -0.0010908002        0.0009428089
        0.3535887106        0.0018962658        0.0000244739
       -0.0004388033        0.0007956879       -0.0107642040
       -0.0006350564       -0.0000004718        0.0013372977
       -0.0000011528       -0.0000023158        0.0000030849
       -0.0012864689        0.0017016896        0.0000575426
        0.0018962658        0.3505683105        0.0000171826
        0.0001788578       -0.0128854776        0.0000052023
        0.0146587115        0.0000034288       -0.0165146707
       -0.0000015064        0.0000048846        0.0000032139
        0.0000021265       -0.0000018554        0.0000046163
        0.0000244739        0.0000171826        0.3461933261
       -0.0000021129        0.0000005747       -0.0000039370
        0.0000038170       -0.0184712781       -0.0000011823
        0.0172750845        0.0016694014        0.0042962091
       -0.0315634003        0.0168424202        0.0206770608
       -0.0004388033        0.0001788578       -0.0000021129
        0.2351521300        0.0039291353       -0.0067469233
        0.0012748450       -0.0000033805        0.0012288416
       -0.0000005627       -0.0000072578        0.0000075471
        0.0036993168        0.0462521513       -0.0513190224
        0.0007956879       -0.0128854776        0.0000005747
        0.0039291353        0.2075100122        0.0008885132
       -0.0322675146        0.0000041996       -0.0071477308
        0.0000007213        0.0000005946        0.0000161072
        0.0382003975        0.0028511846        0.0072097680
       -0.0107642040        0.0000052023       -0.0000039370
       -0.0067469233        0.0008885132        0.1348023579
       -0.0006262519        0.0000014307       -0.0008081918
       -0.0000032924       -0.0000079450        0.0000056826
       -0.0004171494       -0.0050923012        0.0045620448
       -0.0006350564        0.0146587115        0.0000038170
        0.0012748450       -0.0322675146       -0.0006262519
        0.1526142626        0.0000031889        0.0031649637
        0.0000010800       -0.0000014683        0.0000047299
       -0.0000012085        0.0000020083        0.0000054769
       -0.0000004718        0.0000034288       -0.0184712781
       -0.0000033805        0.0000041996        0.0000014307
        0.0000031889        0.1367919822        0.0000081224
        0.0031891415        0.0054809885       -0.0214646684
       -0.0067435110       -0.0004863858        0.0027321880
        0.0013372977       -0.0165146707       -0.0000011823
        0.0012288416       -0.0071477308       -0.0008081918
        0.0031649637        0.0000081224        0.1225706490
       -0.0000026131       -0.0000004400        0.0000020646
       -0.0000012523        0.0000012102       -0.0000029655
       -0.0000011528       -0.0000015064        0.0172750845
       -0.0000005627        0.0000007213       -0.0000032924
        0.0000010800        0.0031891415       -0.0000026131
        0.1240354538       -0.0038086540       -0.0028734576
       -0.0000029570       -0.0000014910        0.0000046464
       -0.0000023158        0.0000048846        0.0016694014
       -0.0000072578        0.0000005946       -0.0000079450
       -0.0000014683        0.0054809885       -0.0000004400
       -0.0038086540        0.0018005494        0.0027223001
        0.0000043337        0.0000052546        0.0000079388
        0.0000030849        0.0000032139        0.0042962091
        0.0000075471        0.0000161072        0.0000056826
        0.0000047299       -0.0214646684        0.0000020646
       -0.0028734576        0.0027223001        0.1145133831
