    5    9
        0.3709501654        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3592400388        0.0000192778
        0.0000193117        0.0000000000        0.0000000000
        0.0268241317       -0.0000012339       -0.0000012447
        0.0000000000        0.0000192778        0.3592402735
        0.0000190694        0.0000000000        0.0000000000
       -0.0000014303        0.0268239584       -0.0000014129
        0.0000000000        0.0000193117        0.0000190694
        0.3592401928        0.0000000000        0.0000000000
       -0.0000013806       -0.0000013696        0.0268239572
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1489464994       -0.0000006273
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0000006273        0.1489463533
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0268241317       -0.0000014303
       -0.0000013806        0.0000000000        0.0000000000
        0.1418757221        0.0000044417        0.0000043774
        0.0000000000       -0.0000012339        0.0268239584
       -0.0000013696        0.0000000000        0.0000000000
        0.0000044417        0.1418757343        0.0000046252
        0.0000000000       -0.0000012447       -0.0000014129
        0.0268239572        0.0000000000        0.0000000000
        0.0000043774        0.0000046252        0.1418757851
