    9   21
        0.0503917204        0.0000001998        0.0000001798
        0.0000000948        0.0000001397        0.0000004397
        0.0239314400        0.0000003048        0.0000002247
        0.0000011096       -0.0823316550        0.0000005099
        0.0000009098        0.0000012898        0.0000011148
        0.0000005898        0.0000001998       -0.0042801453
       -0.0000005151        0.0000001299        0.0000000097
        0.0000001998        0.0698438902        0.0000003699
        0.0017536399        0.0000003499        0.0000002150
        0.0000003099        0.0000004700       -0.0023366451
        0.0000010097        0.0000007900       -0.0929538851
        0.0000015299        0.0039524198        0.0000015599
        0.0000003048        0.0000005600       -0.0000003652
        0.0350739350        0.0000002349       -0.0325328502
        0.0000001798        0.0000003699        0.0603055301
        0.0000005200       -0.0077418201        0.0000001749
        0.0000000551        0.0400194601        0.0000010299
        0.0000003098        0.0000002801        0.0000013149
       -0.0654596050        0.0000009399       -0.0382112199
        0.0000004998       -0.0546159150       -0.0000003251
        0.0000019250        0.0000001648        0.0000003149
        0.0000000948        0.0017536399        0.0000005200
        0.0533691701        0.0000002748        0.0000001249
        0.0000000600        0.0000019800       -0.0373159102
        0.0000003749        0.0000004501       -0.0187861251
        0.0000005500       -0.0555714301        0.0000008249
        0.0000006548        0.0000011549       -0.0000003853
       -0.0387512300        0.0000001098       -0.0398029350
        0.0000001397        0.0000003499       -0.0077418201
        0.0000002748        0.0555729304        0.0000002098
        0.0000001199        0.0520570150        0.0000005898
        0.0000008296        0.0000012200        0.0000008399
        0.0710591648        0.0000014349       -0.0232105351
        0.0000006597        0.0120742749        0.0000001297
       -0.0000001202        0.0000001198        0.0000001297
        0.0000004397        0.0000002150        0.0000001749
        0.0000001249        0.0000002098        0.0668497802
        0.0000004549        0.0000003000        0.0000000699
       -0.0950200753        0.0000020351        0.0000010449
        0.0000008150        0.0000019799        0.0000017350
        0.0441831898        0.0000001799       -0.0000002852
        0.0000003101       -0.0124281902        0.0000002800
        0.0239314400        0.0000003099        0.0000000551
        0.0000000600        0.0000001199        0.0000004549
        0.0762190200        0.0000005950        0.0000004549
        0.0000012599       -0.0782434348        0.0000008400
        0.0000006251        0.0000015000        0.0000010850
        0.0000008200        0.0000009500        0.0462257948
       -0.0000007098       -0.0000000851        0.0000002200
        0.0000003048        0.0000004700        0.0400194601
        0.0000019800        0.0520570150        0.0000003000
        0.0000005950        0.2884060100        0.0000068599
        0.0000002998        0.0000004701        0.0000007451
        0.0541584500        0.0000008799        0.0137824200
        0.0000002649       -0.1009329600       -0.0000005402
        0.0000142501        0.0000000699        0.0000030049
        0.0000002247       -0.0023366451        0.0000010299
       -0.0373159102        0.0000005898        0.0000000699
        0.0000004549        0.0000068599        0.2067643203
        0.0000004297        0.0000002649        0.0872006599
        0.0000018298        0.0069977848        0.0000017099
        0.0000012999        0.0000031899        0.0000004597
        0.0720014900        0.0000000298       -0.0011514501
        0.0000011096        0.0000010097        0.0000003098
        0.0000003749        0.0000008296       -0.0950200753
        0.0000012599        0.0000002998        0.0000004297
        0.2589714404        0.0000109348        0.0000028899
        0.0000026799        0.0000084248        0.0000070548
       -0.0916069402        0.0000014148       -0.0000003352
        0.0000006048        0.0255198498        0.0000001148
       -0.0823316550        0.0000007900        0.0000002801
        0.0000004501        0.0000012200        0.0000020351
       -0.0782434348        0.0000004701        0.0000002649
        0.0000109348        0.2973177899        0.0000035301
        0.0000036300        0.0000102099        0.0000085551
        0.0000044649        0.0000020300       -0.0181661201
        0.0000005701        0.0000002051        0.0000000900
        0.0000005099       -0.0929538851        0.0000013149
       -0.0187861251        0.0000008399        0.0000010449
        0.0000008400        0.0000007451        0.0872006599
        0.0000028899        0.0000035301        0.2920195701
        0.0000101251       -0.0038414950        0.0000095100
        0.0000013050        0.0000022850       -0.0000005350
       -0.0364633250        0.0000000350        0.0008878600
        0.0000009098        0.0000015299       -0.0654596050
        0.0000005500        0.0710591648        0.0000008150
        0.0000006251        0.0541584500        0.0000018298
        0.0000026799        0.0000036300        0.0000101251
        0.2765468301        0.0000072700        0.0245755849
        0.0000011148        0.0810739350       -0.0000004952
        0.0000004101        0.0000000149       -0.0000005350
        0.0000012898        0.0039524198        0.0000009399
       -0.0555714301        0.0000014349        0.0000019799
        0.0000015000        0.0000008799        0.0069977848
        0.0000084248        0.0000102099       -0.0038414950
        0.0000072700        0.3472722503        0.0000103398
        0.0000036798        0.0000024149       -0.0000003152
       -0.0423961350        0.0000001847        0.0024361098
        0.0000011148        0.0000015599       -0.0382112199
        0.0000008249       -0.0232105351        0.0000017350
        0.0000010850        0.0137824200        0.0000017099
        0.0000070548        0.0000085551        0.0000095100
        0.0245755849        0.0000103398        0.3544457101
        0.0000030998       -0.0416772249       -0.0000003402
        0.0000023749        0.0000009848       -0.0000003051
        0.0000005898        0.0000003048        0.0000004998
        0.0000006548        0.0000006597        0.0441831898
        0.0000008200        0.0000002649        0.0000012999
       -0.0916069402        0.0000044649        0.0000013050
        0.0000011148        0.0000036798        0.0000030998
        0.1415072603        0.0000021549       -0.0000002653
       -0.0000009801       -0.0015139102        0.0000011099
        0.0000001998        0.0000005600       -0.0546159150
        0.0000011549        0.0120742749        0.0000001799
        0.0000009500       -0.1009329600        0.0000031899
        0.0000014148        0.0000020300        0.0000022850
        0.0810739350        0.0000024149       -0.0416772249
        0.0000021549        0.2191499701       -0.0000003651
        0.0000047351       -0.0000002301        0.0000021700
       -0.0042801453       -0.0000003652       -0.0000003251
       -0.0000003853        0.0000001297       -0.0000002852
        0.0462257948       -0.0000005402        0.0000004597
       -0.0000003352       -0.0181661201       -0.0000005350
       -0.0000004952       -0.0000003152       -0.0000003402
       -0.0000002653       -0.0000003651        0.0493009904
       -0.0000011001        0.0000000146        0.0000051348
       -0.0000005151        0.0350739350        0.0000019250
       -0.0387512300       -0.0000001202        0.0000003101
       -0.0000007098        0.0000142501        0.0720014900
        0.0000006048        0.0000005701       -0.0364633250
        0.0000004101       -0.0423961350        0.0000023749
       -0.0000009801        0.0000047351       -0.0000011001
        0.2580539200       -0.0000003202        0.1010077550
        0.0000001299        0.0000002349        0.0000001648
        0.0000001098        0.0000001198       -0.0124281902
       -0.0000000851        0.0000000699        0.0000000298
        0.0255198498        0.0000002051        0.0000000350
        0.0000000149        0.0000001847        0.0000009848
       -0.0015139102       -0.0000002301        0.0000000146
       -0.0000003202        0.0099786803        0.0000002449
        0.0000000097       -0.0325328502        0.0000003149
       -0.0398029350        0.0000001297        0.0000002800
        0.0000002200        0.0000030049       -0.0011514501
        0.0000001148        0.0000000900        0.0008878600
       -0.0000005350        0.0024361098       -0.0000003051
        0.0000011099        0.0000021700        0.0000051348
        0.1010077550        0.0000002449        0.3245083002
